ipc-rating-star--rating,names
7.0,amooorales
1.0,TheSuccessorOfTheReaper
5.0,EvanparkerT
1.0,armandogpa
8.0,dark-phoenix84
9.0,mjanelle-24974
1.0,dandiego-15496
10.0,bhirschhoab
10.0,lerrom
3.0,zenmilos
8.0,Abhinav_Sumeet_Kombra
10.0,maryrosepractice
5.0,ssaftler
8.0,Jorge_Wo
4.0,pixfarina
9.0,danydarko-34609
8.0,RottinApple1975
9.0,stevenmonkeydishwasher
6.0,macronnel
1.0,SlashedProductions
3.0,rockbunny-73250
10.0,pranavisda1
3.0,soulfunkyjazz
1.0,spideynw
10.0,andydavis-19959
6.0,tstyles1
7.0,dam-24421
1.0,sventempest
1.0,capitanotm
8.0,dark-phoenix84
9.0,mjanelle-24974
1.0,dandiego-15496
10.0,bhirschhoab
10.0,lerrom
3.0,zenmilos
8.0,Abhinav_Sumeet_Kombra
10.0,maryrosepractice
5.0,ssaftler
8.0,Jorge_Wo
4.0,pixfarina
9.0,danydarko-34609
8.0,RottinApple1975
9.0,stevenmonkeydishwasher
6.0,macronnel
1.0,SlashedProductions
3.0,rockbunny-73250
10.0,pranavisda1
3.0,soulfunkyjazz
1.0,spideynw
10.0,andydavis-19959
6.0,tstyles1
7.0,dam-24421
1.0,sventempest
1.0,capitanotm
10.0,benjinightingale
10.0,nobledan31
10.0,milan_kovacevic-04
7.0,Nikkiangel002
9.0,TVpotatoCat
6.0,realmuthaf
10.0,tyelder
3.0,mikelpcl
4.0,Safcinexile
8.0,atrevino90
3.0,Anseldog
10.0,robloxworld
5.0,smilerbaker
4.0,paullewisborman
8.0,ronitsriv
7.0,snewkyblinders
2.0,underscoremikecastaneda
10.0,joeyfrats
10.0,ruthszulc
7.0,armandicoag
4.0,Jim_E_Cornette
10.0,jostinkissoon
6.0,willster-83146
9.0,calummacleod-51310
5.0,Blimplarg
