ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__text,ipc-voting__dot-separator,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-btn__text
,,https://www.imdb.com/review/rw8675519/?ref_=tturv_perm_11,Actors and their kids cook up an entertaining Superhero movie.,"Right away this Marvel movie comes across as different. It is more whimsical and has more humor built into the script. All of which, for me, make it a more fun movie and the almost 2 hours passes rather quickly.What is it about? Well Thor has sort of gone into semi-requirement and has a beer belly. But when he learns that a rogue god is on a mission to kill all the other gods, and gain immortality for himself, he gets re-energized and rounds up the band of superheros to fight to make things right.As you watch more and more of these they begin to seem all alike, until this one, which has much more fun with the topic. And the town of New Asgard with all the kids, incidentally played by many of the children of the main actors and the director.Not a memorable movie but my wife and I enjoyed it at home on DVD from our public library.",Helpful,•,2,1,TxMike,https://www.imdb.com/user/ur0438066/?ref_=tturv_usr_11_t,15-Nov-22,
,,https://www.imdb.com/review/rw8324899/?ref_=tturv_perm_12,Good second half,"This film tells the story of Thor and his team fighting a villain that is determined to destroy the heavenly world.The first half tries very hard to be funny, but I don't find it funny. The jokes are predictable and stale. In the second half, when Thor is mostly wearing his superhero cape, the film gets a lot more interesting and captivating. I actually wish that the first few scenes are cut, as they are really the weakest link.",Helpful,•,7,14,Gordon-11,https://www.imdb.com/user/ur0035842/?ref_=tturv_usr_12_t,11-Jul-22,
8,/10,https://www.imdb.com/review/rw8313246/?ref_=tturv_perm_13,This is worthwhile addition to the super hero genre that's a must see for fans of the Marvel Universe,"Thor: Love and Thunder (2022) is a movie my wife and I caught in theaters last night. The storyline follows Thor post Thanos searching for meaning. Meanwhile Jane Foster, his one true love, is back on Earth, dying. In her research she discovers Thor's hammer has healing effects and she tracks down his shattered hammer. The hammer, recognizing Jane, rejoins and turns her into a female Thor. When a God killer emerges in the galaxy destroying worlds and religions everywhere what better to stop it than two Thors?This movie is directed by Taika Waititi (Jojo Rabbit) and stars Chris Hemsworth (Snow White and the Huntsman), Natalie Portman (The Professional), Christian Bale (American Psycho), Tessa Thompson (Creed) and Russell Crowe (Gladiator).I'm not sure what I liked better, the legendary GNR soundtrack or the screaming goats...both stole the show. There's very little not to love about this film. The cast is well selected and Bale's villain is perfect in every way (cause, attire, makeup, etc). The special effects, CGI and cinematography are all classic Marvel and tremendous creating wonderful environments, characters and action scenes. The Guardians of the Galaxy opening was a perfect way to kick the movie off and the dialogue throughout is spot on and hilarious. There's also some memorable cameos sprinkled in here and there and they did a pretty good job with pacing as the storyline unfolds well and doesn't feel drawn out like a lot of super hero movies recently.Overall this is worthwhile addition to the super hero genre that's a must see for fans of the Marvel Universe. I would score this a solid 7.5/10 and strongly recommend it.",Helpful,•,16,23,kevin_robbins,https://www.imdb.com/user/ur131783850/?ref_=tturv_usr_13_t,8-Jul-22,
6,/10,https://www.imdb.com/review/rw8310061/?ref_=tturv_perm_14,the comic book look,"Greetings again from the darkness. With a steady stream of Marvel movies and TV serials, maintaining coherent and connected storylines has become challenging. In fact, it's probably best if fans take these at face value, rather struggling to connect the dots, only to end up frustrated. Perhaps no one understands this better than Taika Waititi, the director behind what many (including me) consider the best MCU film, THOR: RAGNAROK (2017). Waititi and co-writer Jennifer Kaytin Robinson once again embrace the blend of quick quip comedy and expected action sequences, supplemented this time a love story.The pre-opening credits sequence provides the backstory for the film's villain, Gorr the God Butcher, played by Oscar winner Christian Bale. Gorr has spent a lifetime worshipping the Sun God, only to realize his worshipping has occurred in an actual God-forsaken world that costs him dearly. Gorr ends up learning the lesson of 'never meet your heroes', and this confrontation gives him the power and curse of the Necrosword, and sets him on a revenge mission to kill all Gods. We have to respect a villain who has a legitimate claim to his mission - it's not just a thirst for world domination. Gorr wants the Gods to pay for their ambivalence.We then pick up Thor Odinson (Chris Hemsworth) as he has been fighting with the Guardians of the Galaxy since the end of AVENGERS: ENDGAME (2019). With no shortage of characters who excel in comedy, this sequence shifts us into laughter and light-hearted mode after the bleak Gorr opening. It's this pacing that holds for most of the movie ... Waititi never lets things stay too serious for very long. Soon, Thor splits off from the Guardians, as he returns to New Asgard, being run by King Valkyrie (Tessa Thompson). Now based on Earth, New Asgard is a theme park and tourist attraction. One of the features is the theater acting group we've seen previously, and this time Matt Damon, Luke Hemsworth, and Sam Neill are joined by Melissa McCarthy as Hela. While this is going on, we learn Thor's old flame, astrophysicist Jane Foster (Oscar winner Natalie Portman) is now an author being treated for Stage 4 cancer. A trip to New Asgard provides her strength as the shattered Mjolnir hammer magically re-forms in her presence. Jane's story boils down to whether she wants to try to extend her life through science or live every remaining day to it's fullest.Gorr kidnaps the Asgardian kids, forcing Thor, Valkyrie, Korg (voiced again by Waititi), and Mighty Thor/Jane Foster to track him to the Realm of Shadows. Their plan is to stop by Omnipotence City to request assistance from the almighty Zeus (Russell Crowe). They are shocked to discover that Zeus is little more than a colorful televangelist with a Borat accent performing a whiz-bang show so that he can get on to the next orgy. Zeus refuses to assist with an army, but he does manage to chain Thor and strip him nekkid centerstage. The good guys nab Zeus' golden lightning bolt and head off to rescue the kids and confront Gorr.In a reverse Wizard of Oz twist, the films turns to Black & White when they reach the Realm of Shadows. It's an eerie environment befitting Gorr. Bale is certainly at his best when he is terrifying and menacing, although the writing is a bit inconsistent for the character, and sometimes it drifts into Pennywise mode, a definite drop in suspense. The action sequences are fine, but really nothing we haven't seen before. And that's probably the biggest issue with all superhero/comic book stories these days. Anything new must come from the story or the characters, and we know the characters far too well at this point.Waititi's version delivers many laughs throughout. Among the best is the odd relationship between Thor and his hammer Mjolnir and his axe Stormbreaker. Thor's jealousy of his ex-hammer hooking up with his ex-girlfriend is almost as funny as Stormbreaker's jealousy of Thor trying to steal back the hammer. Also cool is Thor's homage to Jean-Claude Van Damme, and the look of the Altar of Eternity, where one last wish is granted. Maybe not as effective is the apparent Guns 'n Roses fetish or Jane's struggle to come up with a catchphrase. Sure to be a divisive element is the recurring gag of bleating goats ... I found them hilarious, but many won't. Another piece that simply didn't work for me is Ms. Portman's performance, especially in the scenes with Hemsworth. Her comic timing can't match his, and it's a match that just never clicks.Obviously, the characters originated from the minds of Stan Lee and Jason Aaron in Marvel Comics, and it's Taika Waititi who brings his unique touch to the project. Since he directed THOR: RAGNAROK, he won a screenplay Oscar for JOJO RABBIT (2019), and I've been a fan of his style dating back to EAGLE VS SHARK (2007), and on to the brilliant HUNT FOR THE WILDERPEOPLE (2016), and TV series ""What We Do in the Shadows"". Waititi is scheduled to direct a Star Wars movie in the near future - one surely to be divisive among that fan base. As for this latest Thor movie, it may be tonally jagged and have a few too many zippy quips for some, but it manages to be silly and tender and emotional, while having the look and feel of a comic book come to life. Stay for the two end-credit scenes.Opening in theaters on July 8, 2022 (Thorsday)",Helpful,•,18,24,ferguson-6,https://www.imdb.com/user/ur0806494/?ref_=tturv_usr_14_t,7-Jul-22,
8,/10,https://www.imdb.com/review/rw8681156/?ref_=tturv_perm_15,"Another score for Marvel, very colourful.","I enjoyed the last Thor: Ragnarok a lot so I was expecting something similar with Thor: Love and Thunder and I can't say I was disappointed. This new Marvel movie was of the same quality as the previous one. Very colourful, bombastic, spiked with again some good humorous scenes mostly because of funny one liners. The CGI's were again very spectacular. The cast consists of very good actors so you know you won't be disappointed by them. Christian Bale's character was creepy so credits to the make-up artists for that. The story is easy to follow, with a lot of action, no dead moments at all. If you're a fan of this genre of Marvel movies, action with a bit of humour, you won't regret watching this new Thor adventure. Up to the next one!",Helpful,•,2,6,deloudelouvain,https://www.imdb.com/user/ur58525162/?ref_=tturv_usr_15_t,18-Nov-22,
7,/10,https://www.imdb.com/review/rw8324522/?ref_=tturv_perm_16,Lovely and thunderous,"Gorr finds that his god refuses to save his daughter, doesn't care that the rest of his people are dead, and only cares about himself. So it is no wonder that he grabs the Necrosword and vows to kill all deities. Christian Bale gives his best performance since American Psycho, and at the risk of being blasphemous, I believe it's actually even better than that one. No, really. For more than two decades, I didn't think that would ever happen. While he has too little screen time, he's probably the best thing about the entire film.For one thing, while all of the action looks cool, it's only when he's involved that we feel any sense of danger. And another, he manages to tear the movie out of the rut it's otherwise stuck in, of humor that is marred by an insistence on being a constant throughout the running time, and the feeling that the talented cast, like in Thor 3, are trying desperately to outdo one another, all of the time. I realise that not everybody thinks the romantic comedy aspect works. Personally I thought it was great. You can tell that these are people who can act, who enjoy working together, who share immense chemistry, and who have shared a lot of screen time by now.This features a lot of risque references, a little strong language and brief nudity. I recommend this to big fans of Ragnarok. 7/10.",Helpful,•,10,11,TBJCSKCNRRQTreviews,https://www.imdb.com/user/ur2093818/?ref_=tturv_usr_16_t,11-Jul-22,
8,/10,https://www.imdb.com/review/rw8336383/?ref_=tturv_perm_17,Undemanding fun,,Helpful,•,9,9,neil-476,https://www.imdb.com/user/ur7813355/?ref_=tturv_usr_17_t,15-Jul-22,Spoiler
8,/10,https://www.imdb.com/review/rw8392141/?ref_=tturv_perm_18,Frequently entertaining; welcome back Jane!,"THOR: LOVE AND THUNDER (2022) *** Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi, Russell Crowe, Jaimie Alexander, Chris Pratt, Dave Bautista, Karen Gillan, Pom Klementieff, (voices of Vin Diesel & Bradley Cooper) Frequently entertaining Thor vehicle in the MCU with the still-nursing-his-heart Avenger facing an intergalactic crisis with the threat of Gorr The God Butcher (scary good Bale) hellbent on a vendetta to wipe out the gods that be and kidnapping the children of Asgard as collateral damage. Enlisting the help of his ex, the cancer stricken Jane Foster (Portman in a welcome return to the fray) who has embodied her own version of The Mighty Thor in the process, they team up with their old cronies Valkyrie & Korg (Thompson & writer/director Waititi) to do justifiable ass-kicking battle. While the visuals are still triumphant buoyed by a Guns'n'Roses jukebox the film labors until its final (and surprisingly poignant) act.",Helpful,•,9,13,george.schmidt,https://www.imdb.com/user/ur0937743/?ref_=tturv_usr_18_t,1-Aug-22,
4,/10,https://www.imdb.com/review/rw8559425/?ref_=tturv_perm_19,More like '4: Love and Thunder'.,"'Thor: Love And Thunder (2022)' feels like an absolute rush job. Seriously, it's like a half-hearted first draft. Lacking the charm, wit, wonder and chaotic energy of Taika Waititi's previous foray into the MCU, the film chugs along at its own meandering pace as it tells a simple story as straightforwardly as it can. Some of it has a lot of potential and some of it is even fairly good, but all of it is undercut by the almost oppressively unfunny screenplay that has no idea how to balance its tone. I could probably sue for neck injuries thanks to a couple of these instances of total tonal whiplash. The movie just isn't fun, either. It certainly isn't the sort of devil-may-care comedy you may expect from those involved. Despite a handful of jokes that I recall making me think ""that's quite funny"" (but, crucially, never making me laugh), the experience of watching this is a maddeningly straight-faced affair. I mean, it's like the easiest 'you laugh, you lose' challenge in the world, so much so that most of the humour doesn't even seem like it's trying to make you laugh even though it obviously is. The whole thing is actually kind of embarrassing, the equivalent of watching a screening of someone's University work that they clearly scraped together mere moments before they were due to present it. I'll highlight the few things that I feel work about the picture. Firstly, Jane's storyline has a lot of potential and comes close to being affecting on a couple of occasions. It unfortunately isn't capitalised on fully, but it's undeniably the heart of the story and brings the chemistry between Natalie Portman and Chris Hemsworth back into the fray. Secondly, Gorr's motivation is believable and his presentation is often fairly unsettling (thanks, in no small part, to the stellar work from an out-of-place Christian Bale). His introductory sequence is mostly stellar, until it eventually gets too silly for its own good, and the payoff to his arc is as mature as it is satisfying (despite the denouement's somewhat clumsy handling of its consequences). Finally, there are a couple of action sequences that are presented with distinct aesthetics that bring to mind the best work of Zack Snyder. The golden shower skirmish is probably the movie's most entertaining set-piece, whereas the gang's extended stint in the shadow realm builds on the flick's most disquieting scene to present a relatively eerie battle that's genuinely aesthetically interesting. Despite these limited successes, the picture is easily one of the worst in the entire MCU. Much like 'Doctor Strange In The Multiverse Of Madness (2022)' before it, it simply doesn't feel like an actual film. It has all the elements that ought to make for a strong superhero story, but it squanders each and every one to emerge as nothing more than an absolute mess.",Helpful,•,3,4,Pjtaylor-96-138044,https://www.imdb.com/user/ur26820801/?ref_=tturv_usr_19_t,21-Sep-22,
6,/10,https://www.imdb.com/review/rw8306317/?ref_=tturv_perm_20,"Thor's cosmic adventure has enough thunder and laughs, but enough boring love too.","Thor: Love and Thunder (2022):
Movie Review -Marvel Studios' Thor: Love And Thunder, starring Chris Hemsworth, Christian Bale, Tessa Thompson, Russell Crowe, and Natalie Portman, introduces you to some new Superheroes, Gods and Villains. Some of them are too good even as newcomers, while some are too predictable as the old ones. From the trailer, you get the overall idea of the script, be it characters, suspense, or adventure, and the final outcome doesn't go beyond that, except for one thing. However, it makes sure to fulfil all the criteria of Marvel's Superhero Entertainer, which leaves you satisfied by the end. Love, Thunder, and Laughs: Thor's cosmic adventure ticks all three boxes, despite a few boring aspects. I wish Thunder was in the lead, though.Thor 4 starts off with an introduction scene of the antagonist, Gorr, who becomes the God Butcher after his God fails him. We get back to New Asgard, which is quite like a corporate city and visually lavish, where Korg (Taika Waititi) keeps telling the legends of Thor, aka God of Thunder. Thor (Chris Hemsworth) attempts to find inner peace after losing the love of his life (three times, OMG!), but must return to action to prevent Gorr from murdering the Gods. Valkyrie (Tessa Thompson) and Korg join his army, and then appears Thor's ex-girlfriend Jane Foster ( Natalie Portman), aka Mighty Thor, with Thor's ex-weapon, Mjolnir, to support him, of course.Thor: Love And Thunder might just bore you with typical romance and illogical reconciliation (you might even end up asking why it was there if it wasn't supposed to make any sense, and you won't even get answers), but it covers the loss with explosive action and thrilling adventures. It's a topic of discussion why every superhero film should have a romantic angle to spoil the structure. Of course, not every superhero film can be intellectual like ""The Dark Knight"", and Marvel never wished to match Nolan's intelligence with their money-spinner entertainers. Yet we have that boring romance, parting and reconciliation just to look down and check if our popcorn is finished or not. Thor: Love And Thunder has many moments like this. It's unfathomable how Thor and Jane's love story was left incomplete before the mighty assembly of Avengers, and how it suddenly pops up in the post Thanos era. 8 years or something, as Thor says, who was counting anyway, and what was she doing in the meantime? One of the most pressing questions is why the Guardians of the Galaxy suddenly disappeared. Let's not expect any answers from Marvel.Coming to performances, Thor: Love and Thunder is blessed with Christian Bale's supremacy. He is truly deadly and dark as Gorr and makes you forget many former villains with his impeccable presence. Thor, aka Chris Hemsworth, gets back into his old shoes again and the size still fits him. Not just the physical transformation, but his verbal transformation also clicks well. This time he is more funny and child-friendly, that's some good change after ""The Dark World"" and ""Ragnarok"". Tessa Thompson and Taika Waititi have limited space but do well, whereas Natalie Portman is charming as Mighty Thor and damn boring as Jane Forster. I was expecting Russell Crowe to spread a surprise, but the screen time and role both came out quite underwhelming. Nevertheless, he has a surprise for you in the end credits scene that might just erase previous low grade marks.Marvel's cosmic adventure is visually splendid, and you don't expect anything less in this department, at least. But still, Thor: Love and Thunder goes beyond expectations to leave you in awe with some enchanting and colourful visuals. This may surprise you, but Thor: Love And Thunder also has some dark visuals, and they are unexpectedly awe-spiring. The background score and cinematography seemed okay, while the editing remained crispy most of the time. The tedious romance could have been trimmed a little and easily been replaced by action scenes or comedy to make it more engaging, but what's done is done now.Taika Waititi will be remembered for bringing a bewitching change to Thor's universe with ""Thor: Ragnarok"" (2017). This man pulled Thor out of a dark and intense world and made him more funny and amusing with his commercial vision. With Thor: Love and Thunder, he continues the flow and keeps you smiling all the time. Taika has increased humour and children-oriented theories that should widen Thor's reach to different age groups. However, he fails to make a theoretical sense. But who cares about that when you are watching an MCU product? Chuck the brain, let the chicks and eyes enjoy the show. As a whole, Thor's cosmic adventure is as entertaining as you'd expect, with some new surprises in store.RATING - 6/10*",Helpful,•,8,26,SAMTHEBESTEST,https://www.imdb.com/user/ur50463365/?ref_=tturv_usr_20_t,6-Jul-22,
